True Character,True Label,Predicted Character,Predicted Label,Confidence
ஷூ,124,ஷு,123,0.911
க்ஷீ,128,க்ஷு,152,0.911
ணீ,47,ணி,46,0.910
க்ஷூ,147,க்ஷு,152,0.909
க்ஷீ,128,க்ஷு,152,0.909
ஓ,11,ஒ,10,0.906
ஙீ,29,ஙி,28,0.906
த,51,த்,50,0.905
த்,50,க்,14,0.904
ழூ,115,ழு,114,0.904
ஹு,135,ஹீ,134,0.903
க்ஷீ,128,க்ஷு,152,0.903
ஒ,10,ஓ,11,0.903
ஜு,129,ஜீ,151,0.903
ஒ,10,வு,108,0.900
ளூ,97,ளு,96,0.899
ஷீ,122,ஷு,123,0.898
ழூ,115,ழு,114,0.898
ஜு,129,ஜீ,151,0.898
க்ஷீ,128,க்ஷு,152,0.897
க்ஷு,152,க்ஷூ,147,0.897
க்ஷி,127,க்ஷ,125,0.897
ஸ்,138,ல்,86,0.896
டீ,41,ழீ,113,0.896
ழு,114,மு,72,0.895
ஹூ,136,ஹீ,134,0.894
ஒ,10,லு,90,0.893
ஷ,143,ஹ,131,0.893
ஹு,135,ஹீ,134,0.893
இ,3,தி,52,0.892
ஓ,11,ஒ,10,0.892
ன,117,ை,155,0.892
மூ,73,மு,72,0.891
றீ,101,ரீ,83,0.890
நி,58,தி,52,0.890
ளூ,97,ளு,96,0.890
வ,105,லு,90,0.889
ஞூ,37,நூ,61,0.889
னி,118,ளி,94,0.888
மூ,73,மு,72,0.888
ஷ,143,வு,108,0.888
னூ,145,ணூ,49,0.888
ஞ,33,ஏ,8,0.888
நீ,59,தீ,53,0.887
ணீ,47,னீ,119,0.886
க்ஷு,152,க்ஷூ,147,0.886
ளூ,97,ளு,96,0.886
றூ,103,அ,1,0.886
டி,40,ழ,111,0.885
ஞீ,35,ஞி,34,0.884
ஜூ,130,ஜீ,151,0.884
ன்,116,ஔ,12,0.883
னீ,119,ளீ,95,0.883
ழூ,115,மூ,73,0.880
ஷு,123,ஷீ,122,0.880
ஓ,11,ஒ,10,0.879
ஸி,139,ஸீ,140,0.877
ழூ,115,ழு,114,0.875
ளூ,97,ளு,96,0.875
ளு,96,ளூ,97,0.874
க்ஷீ,128,க்ஷ,125,0.874
ஷு,123,ஷீ,122,0.874
ஹ்,132,ஷ்,144,0.874
ஹு,135,ஹீ,134,0.873
ழி,112,சி,22,0.873
ெ,153,எ,7,0.872
சூ,25,கு,18,0.872
ஸீ,140,ஸு,141,0.872
வ,105,ல,87,0.872
பி,64,யி,76,0.872
ஷி,121,ஹி,133,0.871
க்ஷு,152,க்ஷூ,147,0.871
ஜ்,149,ஜீ,151,0.871
ஹு,135,ஹீ,134,0.871
ஷூ,124,ஷு,123,0.870
ா,0,ர,81,0.869
ழூ,115,மூ,73,0.869
ஞீ,35,ஞ்,32,0.868
ன,117,ை,155,0.867
ஸூ,142,ஸு,141,0.867
கீ,17,தீ,53,0.866
நீ,59,ந்,56,0.866
ன,117,ை,155,0.865
ஹீ,134,ஹூ,136,0.865
ழி,112,மி,70,0.865
ச்,20,ச,21,0.864
ஏ,8,ெ,153,0.864
ண்,44,ன்,116,0.864
நு,60,நூ,61,0.863
ஸீ,140,ஸு,141,0.862
ஜூ,130,ஜீ,151,0.861
க்ஷ,125,க்ஷி,127,0.861
அ,1,வு,108,0.860
க்ஷீ,128,க்ஷு,152,0.860
ஐ,9,ஜ,148,0.860
க்,14,ச்,20,0.859
ஜூ,130,ஜீ,151,0.858
ப்,62,பி,64,0.858
னூ,145,றூ,103,0.856
டீ,41,உ,5,0.855
நி,58,தி,52,0.855
ழூ,115,ழு,114,0.854
க்ஷீ,128,க்ஷு,152,0.853
நீ,59,ந்,56,0.853
ஷி,121,ஜி,150,0.852
ளூ,97,ளு,96,0.851
ை,155,ள,93,0.851
ப்,62,வ்,104,0.851
டி,40,ழ,111,0.851
ஹு,135,ஹீ,134,0.850
ஸ்ரீ,146,ளு,96,0.850
ஞு,36,நு,60,0.850
க்ஷீ,128,க்ஷு,152,0.850
ஜு,129,ஜீ,151,0.849
ஐ,9,ஜ,148,0.849
ஜு,129,ஜீ,151,0.849
லு,90,னு,120,0.848
ே,154,டூ,43,0.848
ணி,46,னி,118,0.847
ஷீ,122,ஷ்,144,0.846
றீ,101,ற்,98,0.846
ஸூ,142,ஸு,141,0.846
க,15,ச,21,0.846
ன,117,ள,93,0.845
ஒ,10,ஓ,11,0.844
க்ஷீ,128,க்ஷு,152,0.843
ை,155,ன,117,0.843
எ,7,ா,0,0.843
டு,42,ெ,153,0.841
ரி,82,ா,0,0.841
ஷ்,144,க்ஷ்,126,0.840
ரூ,85,ளு,96,0.838
ஹு,135,ஹீ,134,0.838
ண,45,ன,117,0.837
க்,14,கீ,17,0.837
யீ,77,ய்,74,0.837
ஹு,135,ஹூ,136,0.836
ணூ,49,னூ,145,0.836
ஹு,135,ஹீ,134,0.835
றீ,101,ளீ,95,0.834
ஞு,36,நு,60,0.834
ஓ,11,ஒ,10,0.834
டூ,43,ே,154,0.833
ஷு,123,ஷீ,122,0.832
ஷ,143,அ,1,0.832
க்ஷீ,128,க்ஷு,152,0.832
லீ,89,ஸு,141,0.831
க்ஷு,152,க்ஷூ,147,0.830
ஷு,123,ஷீ,122,0.830
இ,3,தி,52,0.830
ளூ,97,ளு,96,0.829
ஷு,123,ஷீ,122,0.829
ணூ,49,னூ,145,0.829
றி,100,நி,58,0.828
ஷு,123,ஷீ,122,0.828
நீ,59,தீ,53,0.828
ர,81,ா,0,0.827
ளூ,97,ளு,96,0.827
ஞூ,37,தூ,55,0.826
க்ஷூ,147,க்ஷீ,128,0.823
மு,72,ழு,114,0.822
ஹூ,136,ஹ,131,0.822
க்ஷு,152,க்ஷூ,147,0.822
ன,117,ை,155,0.820
ஆ,2,வூ,109,0.819
த்,50,ற்,98,0.819
ஙீ,29,ங்,26,0.818
ண,45,ன,117,0.816
து,54,க்,14,0.814
பீ,65,டீ,41,0.814
ளீ,95,னி,118,0.814
ளூ,97,ளு,96,0.814
ழ,111,டி,40,0.813
ஒ,10,ஞ,33,0.812
ளூ,97,ளு,96,0.812
ழு,114,மு,72,0.810
த,51,த்,50,0.809
ஷீ,122,ஷ்,144,0.809
ஈ,4,யு,78,0.809
ஸூ,142,ஸு,141,0.809
ளூ,97,ளு,96,0.808
மூ,73,மு,72,0.808
றூ,103,னூ,145,0.807
மி,70,பி,64,0.806
னூ,145,ணூ,49,0.804
ஜு,129,ஜீ,151,0.804
வ்,104,வ,105,0.802
ழீ,113,யீ,77,0.802
ஜூ,130,ஜீ,151,0.802
னி,118,ணி,46,0.801
